"240,6.85610690297737e-06"
"480,3.7464516704766e-06"
"720,7.86244320612765e-06"
"960,8.89739705518813e-07"
"1200,6.00276311738359e-06"
"1440,1.24785443371961e-05"
"1680,8.33961228817734e-06"
"1920,1.94849381089316e-06"
"2160,7.117211614444e-06"
"2400,8.17734192746861e-06"
"2640,1.00558450227707e-05"
"2880,7.12139823886213e-06"
"3120,1.06755858522473e-05"
"3360,6.29675498154668e-06"
"3600,1.03010267034516e-06"
"3840,5.14801263626898e-06"
"4080,1.71585666278466e-05"
"4320,3.49128379353759e-07"
"4560,1.13056260899825e-05"
"4800,4.91893581439481e-07"
"5040,0.000171644674729037"
